"","Entity","Code","Day","school_closures"
"1","Mexico","MEX","2020-01-21",0
"2","Mexico","MEX","2020-01-22",0
"3","Mexico","MEX","2020-01-23",0
"4","Mexico","MEX","2020-01-24",0
"5","Mexico","MEX","2020-01-25",0
"6","Mexico","MEX","2020-01-26",0
"7","Mexico","MEX","2020-01-27",0
"8","Mexico","MEX","2020-01-28",0
"9","Mexico","MEX","2020-01-29",0
"10","Mexico","MEX","2020-01-30",0
"11","Mexico","MEX","2020-01-31",0
"12","Mexico","MEX","2020-02-01",0
"13","Mexico","MEX","2020-02-02",0
"14","Mexico","MEX","2020-02-03",0
"15","Mexico","MEX","2020-02-04",0
"16","Mexico","MEX","2020-02-05",0
"17","Mexico","MEX","2020-02-06",0
"18","Mexico","MEX","2020-02-07",0
"19","Mexico","MEX","2020-02-08",0
"20","Mexico","MEX","2020-02-09",0
"21","Mexico","MEX","2020-02-10",0
"22","Mexico","MEX","2020-02-11",0
"23","Mexico","MEX","2020-02-12",0
"24","Mexico","MEX","2020-02-13",0
"25","Mexico","MEX","2020-02-14",0
"26","Mexico","MEX","2020-02-15",0
"27","Mexico","MEX","2020-02-16",0
"28","Mexico","MEX","2020-02-17",0
"29","Mexico","MEX","2020-02-18",0
"30","Mexico","MEX","2020-02-19",0
"31","Mexico","MEX","2020-02-20",0
"32","Mexico","MEX","2020-02-21",0
"33","Mexico","MEX","2020-02-22",0
"34","Mexico","MEX","2020-02-23",0
"35","Mexico","MEX","2020-02-24",0
"36","Mexico","MEX","2020-02-25",0
"37","Mexico","MEX","2020-02-26",0
"38","Mexico","MEX","2020-02-27",0
"39","Mexico","MEX","2020-02-28",0
"40","Mexico","MEX","2020-02-29",0
"41","Mexico","MEX","2020-03-01",0
"42","Mexico","MEX","2020-03-02",0
"43","Mexico","MEX","2020-03-03",0
"44","Mexico","MEX","2020-03-04",0
"45","Mexico","MEX","2020-03-05",0
"46","Mexico","MEX","2020-03-06",0
"47","Mexico","MEX","2020-03-07",0
"48","Mexico","MEX","2020-03-08",0
"49","Mexico","MEX","2020-03-09",0
"50","Mexico","MEX","2020-03-10",0
"51","Mexico","MEX","2020-03-11",0
"52","Mexico","MEX","2020-03-12",0
"53","Mexico","MEX","2020-03-13",0
"54","Mexico","MEX","2020-03-14",0
"55","Mexico","MEX","2020-03-15",0
"56","Mexico","MEX","2020-03-16",0
"57","Mexico","MEX","2020-03-17",0
"58","Mexico","MEX","2020-03-18",0
"59","Mexico","MEX","2020-03-19",0
"60","Mexico","MEX","2020-03-20",0
"61","Mexico","MEX","2020-03-21",0
"62","Mexico","MEX","2020-03-22",0
"63","Mexico","MEX","2020-03-23",3
"64","Mexico","MEX","2020-03-24",3
"65","Mexico","MEX","2020-03-25",3
"66","Mexico","MEX","2020-03-26",3
"67","Mexico","MEX","2020-03-27",3
"68","Mexico","MEX","2020-03-28",3
"69","Mexico","MEX","2020-03-29",3
"70","Mexico","MEX","2020-03-30",3
"71","Mexico","MEX","2020-03-31",3
"72","Mexico","MEX","2020-04-01",3
"73","Mexico","MEX","2020-04-02",3
"74","Mexico","MEX","2020-04-03",3
"75","Mexico","MEX","2020-04-04",3
"76","Mexico","MEX","2020-04-05",3
"77","Mexico","MEX","2020-04-06",3
"78","Mexico","MEX","2020-04-07",3
"79","Mexico","MEX","2020-04-08",3
