"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","MEX","North America","Mexico","2022-01-01",3988916,9193,5530.857,299525,97,109.429,30622.202,70.573,42.459,2299.4,0.745,0.84,1.69,NA,NA,NA,NA,NA,NA,NA,NA,12053660,9159,92.534,0.07,23880,0.183,0.356,2.8,"people tested",148938454,81916351,72846741,NA,NA,55346,114.34,62.89,55.92,NA,425,200,0,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"2","MEX","North America","Mexico","2022-01-02",3990587,1671,5769.571,299544,19,112.143,30635.03,12.828,44.292,2299.546,0.146,0.861,1.69,NA,NA,NA,NA,NA,NA,NA,NA,12067165,13505,92.637,0.104,24782,0.19,0.365,2.7,"people tested",148943207,81916395,72849124,NA,4753,49436,114.34,62.89,55.92,NA,380,163,0,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,612066.7,39.55,-0.27,4698.727689
"3","MEX","North America","Mexico","2022-01-03",3993464,2877,6065.857,299581,37,114.857,30657.116,22.086,46.567,2299.83,0.284,0.882,1.71,NA,NA,NA,NA,NA,NA,NA,NA,12121102,53937,93.052,0.414,28672,0.22,0.394,2.5,"people tested",148943382,81916418,72849255,NA,175,42873,114.34,62.89,55.93,NA,329,124,0,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"4","MEX","North America","Mexico","2022-01-04",4008648,15184,8100.286,299711,130,127.429,30773.681,116.565,62.184,2300.828,0.998,0.978,1.73,NA,NA,NA,NA,NA,NA,NA,NA,12185359,64257,93.545,0.493,33618,0.258,0.43,2.3,"people tested",149382709,82091136,72881907,NA,439327,99045,114.68,63.02,55.95,NA,760,25041,0.019,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"5","MEX","North America","Mexico","2022-01-05",4029274,20626,10414.571,299842,131,128.286,30932.023,158.342,79.951,2301.834,1.006,0.985,1.74,NA,NA,NA,NA,NA,NA,NA,NA,12261049,75690,94.126,0.581,39787,0.305,0.46,2.2,"people tested",149574164,82114490,72979978,NA,191455,117477,114.83,63.04,56.03,NA,902,28366,0.022,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"6","MEX","North America","Mexico","2022-01-06",4055095,25821,13347.571,299970,128,119.714,31130.246,198.223,102.467,2302.817,0.983,0.919,1.74,NA,NA,NA,NA,NA,NA,NA,NA,12340890,79841,94.739,0.613,46311,0.356,0.485,2.1,"people tested",150180676,82152852,73347525,NA,606512,195202,115.29,63.07,56.31,NA,1499,33835,0.026,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"7","MEX","North America","Mexico","2022-01-07",4083118,28023,14770.714,300101,131,96.143,31345.374,215.128,113.392,2303.822,1.006,0.738,1.72,NA,NA,NA,NA,NA,NA,NA,NA,12427707,86817,95.405,0.666,54744,0.42,0.501,2,"people tested",NA,NA,NA,NA,NA,278044,NA,NA,NA,NA,2134,47960,0.037,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"8","MEX","North America","Mexico","2022-01-08",4113789,30671,17839,300303,202,111.143,31580.83,235.456,136.947,2305.373,1.551,0.853,1.71,NA,NA,NA,NA,NA,NA,NA,NA,12469372,41665,95.725,0.32,59387,0.456,0.507,2,"people tested",151464652,82350939,73840012,NA,NA,360885,116.28,63.22,56.69,NA,2770,62084,0.048,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"9","MEX","North America","Mexico","2022-01-09",4125388,11599,19257.286,300334,31,112.857,31669.873,89.043,147.835,2305.611,0.238,0.866,1.69,NA,NA,NA,NA,NA,NA,NA,NA,12502168,32796,95.977,0.252,62143,0.477,0.514,1.9,"people tested",151945143,82407688,74053608,NA,480491,428848,116.65,63.26,56.85,NA,3292,70185,0.054,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"10","MEX","North America","Mexico","2022-01-10",4125388,0,18846.286,300334,0,107.571,31669.873,0,144.68,2305.611,0,0.826,1.67,NA,NA,NA,NA,NA,NA,NA,NA,12615460,113292,96.847,0.87,70623,0.542,0.541,1.8,"people tested",152051707,82425639,74107031,NA,106564,444046,116.73,63.28,56.89,NA,3409,72746,0.056,38.89,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
