"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","MEX","North America","Mexico","2021-01-01",1437185,11091,9277.429,126507,700,667.143,11033.015,85.144,71.221,971.172,5.374,5.122,1.05,NA,NA,NA,NA,NA,NA,NA,NA,3466432,5996,26.611,0.046,25400,0.195,0.41,2.4,"people tested",NA,NA,NA,NA,NA,4051,NA,NA,NA,NA,31,4051,0.003,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"2","MEX","North America","Mexico","2021-01-02",1443544,6359,9475.286,126851,344,689.286,11081.832,48.817,72.74,973.813,2.641,5.292,1.06,NA,NA,NA,NA,NA,NA,NA,NA,3481437,15005,26.726,0.115,25733,0.198,0.41,2.4,"people tested",NA,NA,NA,NA,NA,4407,NA,NA,NA,NA,34,4407,0.003,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"3","MEX","North America","Mexico","2021-01-03",1448755,5211,9331.571,127213,362,683.857,11121.836,40.004,71.637,976.592,2.779,5.25,1.07,NA,NA,NA,NA,NA,NA,NA,NA,3491089,9652,26.8,0.074,26001,0.2,0.411,2.4,"people tested",NA,NA,NA,NA,NA,4763,NA,NA,NA,NA,37,4763,0.004,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,309728.9,40.11,98.05,2377.733928
"4","MEX","North America","Mexico","2021-01-04",1455219,6464,9398.429,127757,544,700.286,11171.459,49.623,72.15,980.768,4.176,5.376,1.07,NA,NA,NA,NA,NA,NA,NA,NA,3534919,43830,27.137,0.336,26463,0.203,0.416,2.4,"people tested",43960,43960,NA,NA,NA,4912,0.03,0.03,NA,NA,38,4912,0.004,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"5","MEX","North America","Mexico","2021-01-05",1466490,11271,9280.143,128822,1065,711,11257.984,86.525,71.242,988.944,8.176,5.458,1.08,NA,NA,NA,NA,NA,NA,NA,NA,3579272,44353,27.477,0.34,26987,0.207,0.422,2.4,"people tested",48236,48236,NA,NA,4276,4244,0.04,0.04,NA,NA,33,4244,0.003,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"6","MEX","North America","Mexico","2021-01-06",1479835,13345,9414.286,129987,1165,727.143,11360.431,102.447,72.272,997.887,8.943,5.582,1.09,NA,NA,NA,NA,NA,NA,NA,NA,3622863,43591,27.812,0.335,27627,0.212,0.432,2.3,"people tested",53185,53185,NA,NA,4949,4027,0.04,0.04,NA,NA,31,4027,0.003,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"7","MEX","North America","Mexico","2021-01-07",1493569,13734,9639.286,131031,1044,746.286,11465.865,105.433,73.999,1005.902,8.015,5.729,1.1,NA,NA,NA,NA,NA,NA,NA,NA,3668257,45394,28.161,0.348,29689,0.228,0.434,2.3,"people tested",58402,58402,NA,NA,5217,4230,0.04,0.04,NA,NA,32,4230,0.003,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"8","MEX","North America","Mexico","2021-01-08",1507931,14362,10106.571,132069,1038,794.571,11576.119,110.255,77.586,1013.87,7.969,6.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,3712434,44177,28.5,0.339,35143,0.27,0.428,2.3,"people tested",67468,67468,NA,NA,9066,4984,0.05,0.05,NA,NA,38,4984,0.004,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"9","MEX","North America","Mexico","2021-01-09",1524036,16105,11498.857,133204,1135,907.571,11699.755,123.635,88.275,1022.584,8.713,6.967,1.11,NA,NA,NA,NA,NA,NA,NA,NA,3734987,22553,28.673,0.173,36221,0.278,0.427,2.3,"people tested",74794,74794,NA,NA,7326,5488,0.06,0.06,NA,NA,42,5488,0.004,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"10","MEX","North America","Mexico","2021-01-10",1534039,10003,12183.429,133706,502,927.571,11776.546,76.791,93.53,1026.437,3.854,7.121,1.11,NA,NA,NA,NA,NA,NA,NA,NA,3745303,10316,28.752,0.079,36316,0.279,0.428,2.3,"people tested",81300,81300,NA,NA,6506,5876,0.06,0.06,NA,NA,45,5876,0.005,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,329119.9,41.7,113.1,2526.595202
"11","MEX","North America","Mexico","2021-01-11",1541633,7594,12344.857,134368,662,944.429,11834.844,58.298,94.769,1031.519,5.082,7.25,1.11,NA,NA,NA,NA,NA,NA,NA,NA,3794890,49587,29.133,0.381,37139,0.285,0.428,2.3,"people tested",87060,87060,NA,NA,5760,6157,0.07,0.07,NA,NA,47,6157,0.005,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"12","MEX","North America","Mexico","2021-01-12",1556028,14395,12791.143,135682,1314,980,11945.351,110.508,98.195,1041.607,10.087,7.523,1.11,NA,NA,NA,NA,NA,NA,NA,NA,3842044,47154,29.495,0.362,37539,0.288,0.426,2.3,"people tested",92879,92879,NA,NA,5819,6378,0.07,0.07,NA,NA,49,6378,0.005,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"13","MEX","North America","Mexico","2021-01-13",1571901,15873,13152.286,136917,1235,990,12067.206,121.854,100.968,1051.088,9.481,7.6,1.11,NA,NA,NA,NA,NA,NA,NA,NA,3888329,46285,29.85,0.355,37924,0.291,0.422,2.4,"people tested",192567,192567,NA,NA,99688,19912,0.15,0.15,NA,NA,153,19912,0.015,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"14","MEX","North America","Mexico","2021-01-14",1588369,16468,13542.857,137916,999,983.571,12193.628,126.422,103.966,1058.757,7.669,7.551,1.11,NA,NA,NA,NA,NA,NA,NA,NA,3935327,46998,30.211,0.361,38153,0.293,0.418,2.4,"people tested",329983,329983,NA,NA,137416,38797,0.25,0.25,NA,NA,298,38797,0.03,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"15","MEX","North America","Mexico","2021-01-15",1609735,21366,14543.429,139022,1106,993.286,12357.651,164.023,111.647,1067.247,8.491,7.625,1.11,NA,NA,NA,NA,NA,NA,NA,NA,3980306,44979,30.556,0.345,38267,0.294,0.413,2.4,"people tested",417375,415417,1958,NA,87392,49987,0.32,0.32,0,NA,384,49707,0.038,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"16","MEX","North America","Mexico","2021-01-16",1630258,20523,15174.571,140241,1219,1005.286,12515.202,157.551,116.492,1076.605,9.358,7.717,1.1,NA,NA,NA,NA,NA,NA,NA,NA,4003817,23511,30.737,0.18,38404,0.295,0.41,2.4,"people tested",463246,461025,2221,NA,45871,55493,0.36,0.35,0,NA,426,55176,0.042,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"17","MEX","North America","Mexico","2021-01-17",1641428,11170,15341.286,140704,463,999.714,12600.952,85.75,117.772,1080.16,3.554,7.675,1.09,NA,NA,NA,NA,NA,NA,NA,NA,4013787,9970,30.813,0.077,38355,0.294,0.409,2.4,"people tested",472142,468708,3434,NA,8896,55835,0.36,0.36,0,NA,429,55344,0.042,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,355813.3,44.13,157.18,2731.515707
"18","MEX","North America","Mexico","2021-01-18",1649502,8074,15409.857,141248,544,982.857,12662.935,61.983,118.299,1084.336,4.176,7.545,1.09,NA,NA,NA,NA,NA,NA,NA,NA,4063182,49395,31.192,0.379,38327,0.294,0.405,2.5,"people tested",492529,485983,6546,NA,20387,57924,0.38,0.37,0.01,NA,445,56989,0.044,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"19","MEX","North America","Mexico","2021-01-19",1668396,18894,16052.571,142832,1584,1021.429,12807.981,145.046,123.233,1096.496,12.16,7.841,1.08,NA,NA,NA,NA,NA,NA,NA,NA,4112702,49520,31.572,0.38,38665,0.297,0.399,2.5,"people tested",498122,488513,9609,NA,5593,57892,0.38,0.38,0.01,NA,444,56519,0.043,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"20","MEX","North America","Mexico","2021-01-20",1688944,20548,16720.429,144371,1539,1064.857,12965.724,157.743,128.36,1108.311,11.815,8.175,1.07,NA,NA,NA,NA,NA,NA,NA,NA,4159113,46411,31.929,0.356,38683,0.297,0.395,2.5,"people tested",501030,489628,11402,NA,2908,44066,0.38,0.38,0.01,NA,338,42437,0.033,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"21","MEX","North America","Mexico","2021-01-21",1711283,22339,17559.143,146174,1803,1179.714,13137.217,171.493,134.798,1122.152,13.841,9.056,1.06,NA,NA,NA,NA,NA,NA,NA,NA,4204714,45601,32.279,0.35,38484,0.295,0.392,2.6,"people tested",552335,534317,18018,NA,51305,31765,0.42,0.41,0.01,NA,244,29191,0.022,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"22","MEX","North America","Mexico","2021-01-22",1732290,21007,17507.857,147614,1440,1227.429,13298.484,161.267,134.405,1133.207,11.055,9.423,1.04,NA,NA,NA,NA,NA,NA,NA,NA,4251383,46669,32.637,0.358,38725,0.297,0.385,2.6,"people tested",614808,594725,20083,NA,62473,28205,0.47,0.46,0.02,NA,217,25615,0.02,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"23","MEX","North America","Mexico","2021-01-23",1752347,20057,17441.286,149084,1470,1263.286,13452.458,153.974,133.894,1144.491,11.285,9.698,1.03,NA,NA,NA,NA,NA,NA,NA,NA,4275645,24262,32.823,0.186,38833,0.298,0.382,2.6,"people tested",618768,596296,22472,NA,3960,22217,0.48,0.46,0.02,NA,171,19324,0.015,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"24","MEX","North America","Mexico","2021-01-24",1763219,10872,17398.714,149614,530,1272.857,13535.92,83.462,133.567,1148.56,4.069,9.771,1.02,NA,NA,NA,NA,NA,NA,NA,NA,4285267,9622,32.897,0.074,38783,0.298,0.38,2.6,"people tested",629626,604441,25185,NA,10858,22498,0.48,0.46,0.02,NA,173,19390,0.015,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,383868.5,46.64,166.8,2946.890511
"25","MEX","North America","Mexico","2021-01-25",1771740,8521,17462.571,150273,659,1289.286,13601.334,65.414,134.057,1153.619,5.059,9.898,1,NA,NA,NA,NA,NA,NA,NA,NA,4333838,48571,33.27,0.373,38665,0.297,0.376,2.7,"people tested",645105,616390,28715,NA,15479,21797,0.5,0.47,0.02,NA,167,18630,0.014,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"26","MEX","North America","Mexico","2021-01-26",1788905,17165,17215.571,152016,1743,1312,13733.107,131.773,132.161,1167,13.381,10.072,0.99,NA,NA,NA,NA,NA,NA,NA,NA,4382127,48289,33.641,0.371,38489,0.295,0.37,2.7,"people tested",652319,621005,31314,NA,7214,22028,0.5,0.48,0.02,NA,169,18927,0.015,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"27","MEX","North America","Mexico","2021-01-27",1806849,17944,16843.571,153639,1623,1324,13870.86,137.753,129.305,1179.459,12.459,10.164,0.97,NA,NA,NA,NA,NA,NA,NA,NA,4428962,46835,34,0.36,38550,0.296,0.36,2.8,"people tested",656044,624730,31314,NA,3725,22145,0.5,0.48,0.02,NA,170,19300,0.015,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"28","MEX","North America","Mexico","2021-01-28",1825519,18670,16319.429,155145,1506,1281.571,14014.186,143.326,125.281,1191.021,11.561,9.838,0.96,NA,NA,NA,NA,NA,NA,NA,NA,4473127,44165,34.339,0.339,38345,0.294,0.351,2.8,"people tested",657842,626528,31314,NA,1798,15072,0.51,0.48,0.02,NA,116,13173,0.01,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"29","MEX","North America","Mexico","2021-01-29",1841893,16374,15657.571,156579,1434,1280.714,14139.886,125.7,120.2,1202.029,11.009,9.832,0.95,NA,NA,NA,NA,NA,NA,NA,NA,4513781,40654,34.651,0.312,37485,0.288,0.344,2.9,"people tested",662217,630820,31397,NA,4375,6773,0.51,0.48,0.02,NA,52,5156,0.004,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"30","MEX","North America","Mexico","2021-01-30",1857230,15337,14983.286,158074,1495,1284.286,14257.626,117.739,115.024,1213.506,11.477,9.859,0.94,NA,NA,NA,NA,NA,NA,NA,NA,4535194,21413,34.816,0.164,37078,0.285,0.34,2.9,"people tested",670307,631298,39009,NA,8090,7363,0.51,0.48,0.03,NA,57,5000,0.004,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"31","MEX","North America","Mexico","2021-01-31",1864260,7030,14434.429,158536,462,1274.571,14311.594,53.968,110.811,1217.053,3.547,9.785,0.92,NA,NA,NA,NA,NA,NA,NA,NA,4543091,7897,34.877,0.061,36832,0.283,0.338,3,"people tested",673327,631485,41842,NA,3020,6243,0.52,0.48,0.03,NA,48,3863,0.003,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,404161.3,48.14,122.74,3102.674743
"32","MEX","North America","Mexico","2021-02-01",1869708,5448,13995.429,159100,564,1261,14353.417,41.823,107.44,1221.383,4.33,9.68,0.91,NA,NA,NA,NA,NA,NA,NA,NA,4554626,11535,34.965,0.089,31541,0.242,0.334,3,"people tested",675202,631747,43455,NA,1875,4300,0.52,0.48,0.03,NA,33,2194,0.002,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"33","MEX","North America","Mexico","2021-02-02",1874092,4384,12169.571,159533,433,1073.857,14387.072,33.655,93.424,1224.707,3.324,8.244,0.9,NA,NA,NA,NA,NA,NA,NA,NA,4595787,41161,35.281,0.316,30523,0.234,0.328,3,"people tested",677539,631791,45748,NA,2337,3603,0.52,0.49,0.04,NA,28,1541,0.001,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"34","MEX","North America","Mexico","2021-02-03",1886245,12153,11342.286,161240,1707,1085.857,14480.369,93.296,87.073,1237.811,13.104,8.336,0.9,NA,NA,NA,NA,NA,NA,NA,NA,4633641,37854,35.572,0.291,29240,0.224,0.328,3,"people tested",686601,632439,54162,NA,9062,4365,0.53,0.49,0.04,NA,34,1101,0.001,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"35","MEX","North America","Mexico","2021-02-04",1886245,0,8675.143,161240,0,870.714,14480.369,0,66.598,1237.811,0,6.684,0.9,NA,NA,NA,NA,NA,NA,NA,NA,4670090,36449,35.851,0.28,28138,0.216,0.324,3.1,"people tested",695088,634346,60742,NA,8487,5321,0.53,0.49,0.05,NA,41,1117,0.001,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"36","MEX","North America","Mexico","2021-02-05",1912871,26626,10139.714,164290,3050,1101.571,14684.772,204.403,77.841,1261.225,23.414,8.457,0.9,NA,NA,NA,NA,NA,NA,NA,NA,4705480,35390,36.123,0.272,27386,0.21,0.322,3.1,"people tested",700316,636070,64246,NA,5228,5443,0.54,0.49,0.05,NA,42,750,0.001,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
"37","MEX","North America","Mexico","2021-02-06",1926080,13209,9835.714,165786,1496,1101.714,14786.175,101.403,75.507,1272.71,11.485,8.458,0.9,NA,NA,NA,NA,NA,NA,NA,NA,4723019,17539,36.258,0.135,26832,0.206,0.321,3.1,"people tested",710198,637098,73100,NA,9882,5699,0.55,0.49,0.06,NA,44,829,0.001,71.76,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA,NA,NA,NA
